Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00782_073_20260114140400_91.13.BIN,39.85,14/01/2026 14:04
TG073_73202_67679_00017_073_20260114081214_91.13.BIN,23.98,14/01/2026 08:12
TG073_73202_67679_00018_073_20260114203038_91.13.BIN,24.35,14/01/2026 20:30
TG073_73203_67817_00892_073_20260114123032_91.13.BIN,37.75,14/01/2026 12:31
TG073_73204_67804_00913_073_20260114123457_91.13.BIN,23.43,14/01/2026 12:53
TG073_73207_67539_00946_073_20260114192039_91.13.BIN,47.08,14/01/2026 19:19
TG073_73208_68097_01077_073_20260114122409_91.13.BIN,42.38,14/01/2026 20:43
TG073_73208_68097_01078_073_20260114204500_91.13.BIN,18.81,14/01/2026 20:43
TG073_73209_67705_00020_073_20260114180800_91.13.BIN,42.30,14/01/2026 18:40
TG073_73210_67802_01149_073_20260114134517_91.13.BIN,34.32,14/01/2026 23:57
TG073_73210_67802_01150_073_20260114235752_91.13.BIN,20.57,14/01/2026 23:57
TG073_73212_67640_01205_073_20260114190326_91.13.BIN,61.07,14/01/2026 19:03
TG073_73213_67955_01059_073_20260114123941_91.13.BIN,34.17,14/01/2026 21:12
TG073_73213_67955_01060_073_20260114211323_91.13.BIN,30.88,14/01/2026 21:12
TG073_73214_67749_01038_073_20260114200102_91.13.BIN,48.68,14/01/2026 20:01
